"id","name","description","sector_id","created_at","updated_at"
1,Assemblée de NYOM,,3,"2024-04-01 08:50:03","2024-04-01 10:26:41"
2,Assemblée d'EMANA,,3,"2024-04-01 08:52:41","2024-04-01 10:27:14"
3,Assemblée de NGOUSSO,,3,"2024-04-01 08:53:34","2024-04-01 10:27:01"
4,Assemblée de MFANDENA,,3,"2024-04-01 10:27:58","2024-04-01 10:27:58"
5,Assemblée de NKOLFOULOU,,3,"2024-04-01 10:28:40","2024-04-01 10:28:40"
6,Assemblée de BANGUI,,7,"2024-04-01 10:34:32","2024-04-01 10:34:32"
7,Assemblée de NGAOUNDERE,,7,"2024-04-01 10:36:07","2024-04-01 10:36:07"
8,Assemblée d'EDEA PONGO,,6,"2024-04-01 10:37:03","2024-04-01 10:37:03"
