"id","name","display_name","description","logo_path","is_active","phone_regex","phone_prefix","color_code","order","created_at","updated_at"
1,orange_money,Orange Money,Paiement via Orange Money Cameroun,,1,^(69[0-9]{7}|65[5-9][0-9]{6}|68[5-9][0-9]{6})$,"69, 655-659, 685-689",#FF6600,1,"2025-03-02 16:10:17","2025-03-02 16:10:17"
2,mtn_momo,MTN Mobile Money,Paiement via MTN Mobile Money Cameroun,,1,^(67[0-9]{7}|65[0-4][0-9]{6}|68[0-4][0-9]{6})$,"67, 650-654, 680-684",#FFCC00,2,"2025-03-02 16:10:17","2025-03-02 16:10:17"
